edge_id,source_id,target_id,edge_type,edge_key,role,scope,stage,months,value,observed,n,source_col,detail
E_b96ac8a7647894fd,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_CHILD_3,PARENT_OF,PARENT_OF,,case,,,,,,,
E_a065318d28088e14,CASE_3300-73111-00001-20,PERSON_3300-73111-00001-20_CHILD_4,HAS_PARTICIPANT,HAS_PARTICIPANT,child,case,,,,,,,
E_a996e3c83fb1b208,PERSON_3300-73111-00001-20_V,PERSON_3300-73111-00001-20_CHILD_4,PARENT_OF,PARENT_OF,,case,,,,,,,
E_64c892f6e4320864,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_CHILD_4,PARENT_OF,PARENT_OF,,case,,,,,,,
E_5ec190f10f568317,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,PRIOR_VIOLENCE,PRIOR_VIOLENCE,,case,prior,,1,1,,prior_violence,"Threats, physical violence"
E_4cf7781adfbfb09c,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,COERCIVE_CONTROL,COERCIVE_CONTROL,,case,prior,,1,1,,control,
E_b1464e1023360bb4,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,ATTEMPTED_ISOLATION,ATTEMPTED_ISOLATION,,case,prior,,,0,,prior_attempts_isolate_victim,
E_1af7d6f2bb0351b1,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,PRIOR_STRANGULATION,PRIOR_STRANGULATION,,case,prior,,,0,,prior_strangulation,
E_bdcc0289ccde4c6d,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,THREATENED_WITH_WEAPON,THREATENED_WITH_WEAPON,,case,prior,,1,1,,prior_threats_with_weapon,
E_5b64c4061dde67e6,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,ASSAULTED_WITH_WEAPON,ASSAULTED_WITH_WEAPON,,case,prior,,,0,,prior_assault_with_weapon,
E_8c4abdd483b29d30,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,ESCALATED_VIOLENCE,ESCALATED_VIOLENCE,,case,prior,,,0,,escalation_of_violence,
E_6e04b4acc182ae8d,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,STALKED,STALKED,,case,prior,,1,1,,obsessive_behaviour,
E_9c454fe50cccb20a,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,SEXUAL_JEALOUSY,SEXUAL_JEALOUSY,,case,prior,,,0,,sexual_jealousy,
E_ca02fefeff8ee9f0,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,MISOGYNISTIC_ATTITUDES,MISOGYNISTIC_ATTITUDES,,case,prior,,,0,,misogynistic_attitudes,
E_532fc82960b8bb8b,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,CONTROLLED_DAILY_ACTIVITIES,CONTROLLED_DAILY_ACTIVITIES,,case,prior,,,0,,controlled_victims_daily_activities,
E_4c47927771ea0769,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,THREATENED_SUICIDE,THREATENED_SUICIDE,,case,prior,,1,1,,threats_of_suicide,
E_ca8ef74d120b4e2a,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_V,YOUTH_COUPLE,YOUTH_COUPLE,,case,prior,,0,1,,youth_couple,
E_5c7dff1ed64b95a6,PERSON_3300-73111-00001-20_V,PERSON_3300-73111-00001-20_O,YOUTH_COUPLE,YOUTH_COUPLE,,case,prior,,0,1,,youth_couple,
E_940713c2e0b5572b,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_CHILD_1,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,1,1,,offender_threatened_harmed_children,
E_4180cdd4ec028123,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_CHILD_2,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,1,1,,offender_threatened_harmed_children,
E_ec49d1703e462d99,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_CHILD_3,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,1,1,,offender_threatened_harmed_children,
E_ca7d4f99bafd258d,PERSON_3300-73111-00001-20_O,PERSON_3300-73111-00001-20_CHILD_4,THREATENED_HARMED_CHILD,THREATENED_HARMED_CHILD,,case,prior,,1,1,,offender_threatened_harmed_children,
